#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Merluccius bilinearis	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius bilinearis	best hit
ASV2	species	Sebastes mentella	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes mentella	best hit
ASV3	species	Clupea harengus	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus	best hit
ASV4	species	Gasterosteus aculeatus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	best hit
ASV5	species	Tautogolabrus adspersus	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Tautogolabrus	Tautogolabrus adspersus	best hit
ASV6	species	Salmo salar	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar	best hit
ASV7	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV8	species	Urophycis chuss	Eukaryota	Chordata	Actinopteri	Gadiformes	Phycidae	Urophycis	Urophycis chuss	best hit
ASV9	species	Osmerus mordax	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus mordax	best hit
ASV10	species	Pholis gunnellus	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis gunnellus	best hit
ASV11	species	Menidia menidia	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Menidia	Menidia menidia	best hit
ASV12	species	Fundulus heteroclitus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus	best hit
ASV13	species	Salvelinus fontinalis x Salvelinus malma	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis x Salvelinus malma	best hit
ASV14	species	Melanogrammus aeglefinus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Melanogrammus	Melanogrammus aeglefinus	best hit
ASV15	species	Scomber scombrus	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	Scomber scombrus	best hit
ASV16	species	Anas platyrhynchos	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	best hit
ASV17	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV18	species	Anarhichas denticulatus	Eukaryota	Chordata	Actinopteri	Perciformes	Anarhichadidae	Anarhichas	Anarhichas denticulatus	best hit
ASV19	species	Bos taurus	Eukaryota	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	best hit
ASV20	species	Myoxocephalus aenaeus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus aenaeus	best hit
ASV21	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV22	species	Apeltes quadracus	Eukaryota	Chordata	Actinopteri	Perciformes	Gasterosteidae	Apeltes	Apeltes quadracus	best hit
ASV23	species	Microgadus tomcod	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Microgadus	Microgadus tomcod	best hit
ASV24	species	Glyptocephalus cynoglossus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Glyptocephalus	Glyptocephalus cynoglossus	best hit
ASV25	species	Ammodytes marinus	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes marinus	best hit
ASV26	species	Myoxocephalus aenaeus	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus aenaeus	best hit
