#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV100	species	uncultured diatom	Eukaryota	Bacillariophyta	unknown class	unknown order	unknown family	unknown genus	uncultured diatom	best hit
ASV1000	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10004	genus	Candidatus Pelagibacter	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	no identification	lca
ASV10005	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10009	species	Harmothoe imbricata	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	Harmothoe	Harmothoe imbricata	best hit
ASV10015	genus	Candidatus Pelagibacter	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	no identification	lca
ASV1004	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	lca
ASV10041	species	Monocorophium insidiosum	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Monocorophium	Monocorophium insidiosum	best hit
ASV10043	species	Semibalanus balanoides	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Semibalanus	Semibalanus balanoides	best hit
ASV10044	species	Corythucha sp. BOLD:AAG8847	Eukaryota	Arthropoda	Insecta	Hemiptera	Tingidae	Corythucha	Corythucha sp. BOLD:AAG8847	best hit
ASV10045	species	Pythium sp. CAL-2011c	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	Pythium	Pythium sp. CAL-2011c	best hit
ASV10048	species	uncultured marine bacterium 582	Bacteria	unknown phylum	unknown class	unknown order	unknown family	unknown genus	uncultured marine bacterium 582	best hit
ASV1005	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV10057	species	Oithona similis	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis	best hit
ASV10061	species	Pseudo-nitzschia delicatissima	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia delicatissima	best hit
ASV10075	species	Polaribacter haliotis	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter haliotis	lca
ASV10076	species	Leptophlebia nebulosa	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Leptophlebiidae	Leptophlebia	Leptophlebia nebulosa	best hit
ASV1008	species	Pycnopsyche guttifera	Eukaryota	Arthropoda	Insecta	Trichoptera	Limnephilidae	Pycnopsyche	Pycnopsyche guttifera	best hit
ASV10083	species	Ophelina acuminata CMC01	Eukaryota	Annelida	Polychaeta	unknown order	Opheliidae	Ophelina	Ophelina acuminata CMC01	best hit
ASV10087	genus	Pseudogymnoascus	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Pseudogymnoascus	no identification	lca
ASV10088	family	Sporidiobolaceae	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	no identification	no identification	lca
ASV10089	species	Ophiopholis aculeata	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiactidae	Ophiopholis	Ophiopholis aculeata	best hit
ASV1009	species	Candidatus Pelagibacter sp. IMCC9063	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	best hit
ASV10093	species	uncultured Kareniaceae	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	unknown genus	uncultured Kareniaceae	best hit
ASV101	species	Rhodomela lycopodioides	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Rhodomela	Rhodomela lycopodioides	best hit
ASV1010	order	Helotiales	Fungi	Ascomycota	Leotiomycetes	Helotiales	no identification	no identification	no identification	lca
ASV10106	species	Septoria linicola	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Septoria	Septoria linicola	lca
ASV10109	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10110	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10114	species	Oithona similis	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis	best hit
ASV1012	species	Fridericia bulboides	Eukaryota	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Fridericia	Fridericia bulboides	best hit
ASV10122	species	Biecheleriopsis adriatica	Eukaryota	Dinophyceae	Dinophyceae	Lophodiniales	Lophodiniaceae	Biecheleriopsis	Biecheleriopsis adriatica	best hit
ASV1013	species	Dicyrtomina ornata	Eukaryota	Arthropoda	Collembola	Symphypleona	Dicyrtomidae	Dicyrtomina	Dicyrtomina ornata	best hit
ASV10130	species	Leptophlebia sp. BOLD:AAX5673	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Leptophlebiidae	Leptophlebia	Leptophlebia sp. BOLD:AAX5673	best hit
ASV10134	family	Saprolegniaceae	Eukaryota	Oomycota	unknown class	Saprolegniales	Saprolegniaceae	no identification	no identification	lca
ASV10136	family	Paramoebidae	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	no identification	no identification	lca
ASV10144	species	Neoceratium tripos	Eukaryota	Dinophyceae	Dinophyceae	Gonyaulacales	Ceratiaceae	Neoceratium	Neoceratium tripos	best hit
ASV10159	species	Anthoptilum grandiflorum	Eukaryota	Cnidaria	Anthozoa	Scleralcyonacea	Anthoptilidae	Anthoptilum	Anthoptilum grandiflorum	best hit
ASV10167	species	Woloszynskia sp. ES1-2	Eukaryota	Dinophyceae	Dinophyceae	Lophodiniales	Lophodiniaceae	Woloszynskia	Woloszynskia sp. ES1-2	best hit
ASV10171	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10172	species	Lepidodinium chlorophorum	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Lepidodinium	Lepidodinium chlorophorum	best hit
ASV10176	species	Bugula sp. BT_WH	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula sp. BT_WH	best hit
ASV10206	species	Ammodytes dubius	Eukaryota	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes dubius	best hit
ASV1021	species	Pleuromamma borealis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Pleuromamma	Pleuromamma borealis	best hit
ASV10211	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	lca
ASV10216	species	Ephemera simulans	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Ephemeridae	Ephemera	Ephemera simulans	best hit
ASV10218	species	Deroceras laeve	Eukaryota	Mollusca	Gastropoda	Stylommatophora	Agriolimacidae	Deroceras	Deroceras laeve	best hit
ASV10222	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10247	genus	Polaribacter	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	no identification	lca
ASV10248	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV10257	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10259	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10274	species	Chordariaceae sp. 7 AP-2016	Eukaryota	Phaeophyceae	Phaeophyceae	Ectocarpales	Chordariaceae	unknown genus	Chordariaceae sp. 7 AP-2016	best hit
ASV10280	class	unknown class	Eukaryota	Oomycota	unknown class	no identification	no identification	no identification	no identification	lca
ASV10281	species	Melanothamnus harveyi	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Melanothamnus	Melanothamnus harveyi	best hit
ASV10286	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV1029	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV10293	species	Ministeria vibrans	Eukaryota	Filasterea	Filasterea	unknown order	unknown family	Ministeria	Ministeria vibrans	best hit
ASV10297	species	Oscarella balibaloi	Eukaryota	Porifera	Homoscleromorpha	Homosclerophorida	Oscarellidae	Oscarella	Oscarella balibaloi	best hit
ASV10314	family	Pythiaceae	Eukaryota	Oomycota	unknown class	Pythiales	Pythiaceae	no identification	no identification	lca
ASV10328	species	Karenia mikimotoi	Eukaryota	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia mikimotoi	best hit
ASV10340	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10347	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10349	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV1035	species	Asterias rubens	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias	Asterias rubens	best hit
ASV10351	species	Thelepus cincinnatus	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Thelepus	Thelepus cincinnatus	best hit
ASV10360	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV10364	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10368	species	Ectobiidae sp. CBA1782	Eukaryota	Arthropoda	Insecta	Blattodea	Ectobiidae	unknown genus	Ectobiidae sp. CBA1782	lca
ASV10369	species	Aureobasidium pullulans	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans	best hit
ASV10370	species	Leathesia marina	Eukaryota	Phaeophyceae	Phaeophyceae	Ectocarpales	Chordariaceae	Leathesia	Leathesia marina	best hit
ASV10384	class	Sordariomycetes	Fungi	Ascomycota	Sordariomycetes	no identification	no identification	no identification	no identification	lca
ASV104	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	best hit
ASV10407	species	Polaribacter sp. SA4-10	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp. SA4-10	lca
ASV10408	species	Cancer irroratus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Cancridae	Cancer	Cancer irroratus	best hit
ASV1041	species	Ahnfeltia plicata	Eukaryota	Rhodophyta	Florideophyceae	Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia	Ahnfeltia plicata	best hit
ASV10411	species	Bathycoccus prasinos	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	lca
ASV10420	species	uncultured dinoflagellate	Eukaryota	Dinophyceae	Dinophyceae	unknown order	unknown family	unknown genus	uncultured dinoflagellate	best hit
ASV10424	species	Leohumicola verrucosa	Fungi	Ascomycota	Leotiomycetes	unknown order	unknown family	Leohumicola	Leohumicola verrucosa	lca
ASV10425	species	Scopalina ruetzleri	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri	lca
ASV10431	class	Leotiomycetes	Fungi	Ascomycota	Leotiomycetes	no identification	no identification	no identification	no identification	lca
ASV10436	species	Minutocellus polymorphus	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	best hit
ASV10439	class	Dinophyceae	Eukaryota	Dinophyceae	Dinophyceae	no identification	no identification	no identification	no identification	lca
ASV1044	species	Squamamoeba japonica	Eukaryota	Evosea	unknown class	unknown order	unknown family	Squamamoeba	Squamamoeba japonica	best hit
ASV10445	species	Botryllus schlosseri	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botryllus	Botryllus schlosseri	best hit
