scientificName,phylum,class,order,family,genus,target_group,Genus,FBname,Length,LTypeMaxM,DemersPelag,DepthRangeShallow,DepthRangeDeep,BodyShapeI,AnaCat,Importance,MainCatchingMethod
Gadus morhua,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,fish,Gadus,Atlantic cod,200,TL,benthopelagic,0,600,fusiform / normal,oceanodromous,highly commercial,trawls
Myoxocephalus scorpius,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,fish,Myoxocephalus,Shorthorn sculpin,60,TL,demersal,0,451,fusiform / normal,NA,commercial,seines
Morone saxatilis,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,Morone,fish,Morone,Striped bass,200,TL,demersal,30,NA,fusiform / normal,anadromous,minor commercial,NA
Melanogrammus aeglefinus,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,fish,Melanogrammus,Haddock,112,TL,demersal,10,450,fusiform / normal,oceanodromous,highly commercial,trawls
Myoxocephalus octodecemspinosus,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,fish,Myoxocephalus,Longhorn sculpin,46,TL,demersal,1,190,elongated,NA,NA,NA
Merluccius bilinearis,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,fish,Merluccius,Silver hake,76,TL,demersal,55,914,elongated,oceanodromous,highly commercial,NA
Hippoglossoides platessoides,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,fish,Hippoglossoides,American plaice,82.5999984741211,TL,demersal,10,3000,short and / or deep,oceanodromous,highly commercial,NA
Salmo salar,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,fish,Salmo,Atlantic salmon,150,TL,benthopelagic,0,210,fusiform / normal,anadromous,highly commercial,seines
Clupea harengus,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,fish,Clupea,Atlantic herring,45,SL,benthopelagic,0,364,fusiform / normal,oceanodromous,highly commercial,seines
Myzopsetta ferruginea,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Myzopsetta,fish,Myzopsetta,Yellowtail flounder,64,TL,demersal,27,364,short and / or deep,NA,commercial,NA
Squalus acanthias,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,fish,Squalus,Picked dogfish,160,TL,bathydemersal,0,1978,elongated,oceanodromous,commercial,trawls
Pollachius virens,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,fish,Pollachius,Saithe,130,TL,demersal,37,364,fusiform / normal,oceanodromous,highly commercial,seines
