SampleName,Smith-RootNumber,sampleDate,sampleLocation,latitude,longitude,sampleReplicate,volumeFiltered,targetVolume,collectedBy,waterTemperature,waterDepth,speciesOberved,SamplingNotes,elutionVolume,DNAConcentration,extractionBlank,extractionDate,extractionStaff,extractionNotes
KCNC01,15,2025-12-12,"Kelly's Cove, New Campbellton",46.289294,-60.436334,1,3.01,3,"Morgan, Abby, Seth",2.5 C °,1.3,,,150,,UINR-DFO-XN1,2026-01-21,SM,
KCNC02,15,2025-12-12,"Kelly's Cove, New Campbellton",46.289294,-60.436334,2,3.01,3,"Morgan, Abby, Seth",2.5 C °,1.3,,,150,,UINR-DFO-XN1,2026-01-21,SM,
KCNC03,15,2025-12-12,"Kelly's Cove, New Campbellton",46.289294,-60.436334,3,3.01,3,"Morgan, Abby, Seth",2.5 C °,1.3,,,150,,UINR-DFO-XN1,2026-01-21,SM,
KCNCFB,16,2025-12-12,,,,Field blank,2.02,,,,,,,150,,UINR-DFO-XN1,2026-01-21,SM,no filter in tube
CP01,20,2025-12-12,Cain's Pond,46.089848,-60.859416,1,2.4,3,"Morgan, Abby, Seth",1.9 C °,0.2,Amercian Crow,"Water was slushing up in the tube because freshwater was freezing, so we sampled the water from a bowl in the truck to keep it from freezing",150,,UINR-DFO-XN1,2026-01-21,SM,Cloudy solution after Qiashredder
CP02,20,2025-12-12,Cain's Pond,46.089848,-60.859416,2,2.4,3,"Morgan, Abby, Seth",1.9 C °,0.2,Amercian Crow,,150,,UINR-DFO-XN1,2026-01-21,SM,
CP03,20,2025-12-12,Cain's Pond,46.089848,-60.859416,3,2.4,3,"Morgan, Abby, Seth",1.9 C °,0.2,Amercian Crow,,150,,UINR-DFO-XN1,2026-01-21,SM,
CPFB,21,2025-12-12,,,,Field blank,1.58,3,,,,,,150,,UINR-DFO-XN1,2026-01-21,SM,no filter in tube
MC01,,2025-12-16,Meat Cove,,,1,3.13,3,"Abby, Seth",,0.3,,"Ocean waves at this site were very agrressive, we lost two of the clear tubes that connect to the filters in the ocean",150,,UINR-DFO-XN1,2026-01-21,SM,
MC02,,2025-12-16,Meat Cove,,,2,3.13,3,"Abby, Seth",,0.3,,,150,,UINR-DFO-XN1,2026-01-21,SM,
MC03,,2025-12-16,Meat Cove,,,3,3.13,3,"Abby, Seth",,0.3,,,150,,UINR-DFO-XN1,2026-01-21,SM,Cloudy solution after Qiashredder
MCFB,,2025-12-16,,,,Field blank,,,,,,,,150,,UINR-DFO-XN1,2026-01-21,SM,no filter in tube
II01,29,2025-12-16,Ingonish Island,,,1,3.04,3,"Abby, Seth",3 C °,0.16,,,150,,UINR-DFO-XN1,2026-01-21,SM,
II02,29,2025-12-16,Ingonish Island,,,2,3.04,3,"Abby, Seth",3 C °,0.16,,,150,,UINR-DFO-XN1,2026-01-21,SM,
II03,29,2025-12-16,Ingonish Island,,,3,3.04,3,"Abby, Seth",3 C °,0.16,,,150,,UINR-DFO-XN1,2026-01-21,SM,
IIFB,,2025-12-16,,,,Field blank,,,,,,,,150,,UINR-DFO-XN1,2026-01-21,SM,no filter in tube
MR01,35,2025-12-17,Middle River,46.083032,-60.910548,1,3.04,3,"Morgan, Abby, Seth",1.2 C °,0.25,,,150,,UINR-DFO-XN1,2026-01-21,SM,
MR02,35,2025-12-17,Middle River,46.083032,-60.910548,2,3.04,3,"Morgan, Abby, Seth",1.2 C °,0.25,,,150,,UINR-DFO-XN1,2026-01-21,SM,Cloudy solution after Qiashredder
MR03,35,2025-12-17,Middle RIver,46.083032,-60.910548,3,3.04,3,"Morgan, Abby, Seth",1.2 C °,0.25,,,150,,UINR-DFO-XN1,2026-01-21,SM,
