"","ASV","#lca rank","#lca taxon","#kingdom","#phylum","#class","#order","#family","#genus","#species","#method","tax_status","family","genus","FBname","DemersPelag","AnaCat","Importance"
"1","ASV1","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial"
"2","ASV2","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial"
"3","ASV3","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial"
"4","ASV4","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial"
"5","ASV5","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial"
"6","ASV6","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial"
"7","ASV7","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial"
"8","ASV8","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Has data","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial"
"9","ASV9","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial"
"10","ASV10","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest"
