"","ASV_12S","#lca rank_12S","#lca taxon","#kingdom_12S","#phylum_12S","#class_12S","#order_12S","#family_12S","#genus_12S","#species_12S","#method_12S","tax_status_12S","family_12S","genus_12S","FBname_12S","DemersPelag_12S","AnaCat_12S","Importance_12S","marker_12S","ASV_16S","#lca rank_16S","#kingdom_16S","#phylum_16S","#class_16S","#order_16S","#family_16S","#genus_16S","#species_16S","#method_16S","tax_status_16S","family_16S","genus_16S","FBname_16S","DemersPelag_16S","AnaCat_16S","Importance_16S","marker_16S","marker"
"1","ASV1","species","Merluccius bilinearis","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial",TRUE,"ASV2","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","best hit","Has data","Merlucciidae","Merluccius","Silver hake","demersal","oceanodromous","highly commercial",TRUE,"both"
"2","ASV2","species","Sebastes mentella","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial",TRUE,"ASV1","species","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes mentella","best hit","Has data","Sebastidae","Sebastes","Beaked redfish","bathypelagic","oceanodromous","commercial",TRUE,"both"
"3","ASV3","species","Clupea harengus","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial",TRUE,"ASV25","species","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","best hit","Has data","Clupeidae","Clupea","Atlantic herring","benthopelagic","oceanodromous","highly commercial",TRUE,"both"
"4","ASV4","species","Gasterosteus aculeatus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial",TRUE,"ASV5","species","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","best hit","Has data","Gasterosteidae","Gasterosteus","Three-spined stickleback","benthopelagic","anadromous","minor commercial",TRUE,"both"
"5","ASV5","species","Tautogolabrus adspersus","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial",TRUE,"ASV4","species","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","best hit","Has data","Labridae","Tautogolabrus","Cunner","reef-associated",NA,"commercial",TRUE,"both"
"6","ASV6","species","Salmo salar","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial",TRUE,"ASV6","species","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","best hit","Has data","Salmonidae","Salmo","Atlantic salmon","benthopelagic","anadromous","highly commercial",TRUE,"both"
"7","ASV7","species","Gadus morhua","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial",TRUE,"ASV7","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus morhua","best hit","Has data","Gadidae","Gadus","Atlantic cod","benthopelagic","oceanodromous","highly commercial",TRUE,"both"
"8","ASV8","species","Urophycis chuss","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Has data","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial",TRUE,"ASV20","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Phycidae","Urophycis","Urophycis chuss","best hit","Has data","Phycidae","Urophycis","Red hake","demersal","oceanodromous","commercial",TRUE,"both"
"9","ASV9","species","Osmerus mordax","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial",TRUE,"ASV3","species","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax","best hit","Has data","Osmeridae","Osmerus","Rainbow smelt","pelagic-oceanic","anadromous","commercial",TRUE,"both"
"10","ASV10","species","Pholis gunnellus","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest",TRUE,"ASV10","species","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","best hit","Has data","Pholidae","Pholis","Rock gunnel","demersal","non-migratory","of no interest",TRUE,"both"
"11","ASV11","species","Menidia menidia","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial",TRUE,"ASV11","species","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","best hit","Has data","Atherinopsidae","Menidia","Atlantic silverside","pelagic-neritic","oceanodromous","minor commercial",TRUE,"both"
"12","ASV12","species","Fundulus heteroclitus","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial",TRUE,"ASV13","species","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","best hit","Has data","Fundulidae","Fundulus","Mummichog","benthopelagic","non-migratory","commercial",TRUE,"both"
"13","ASV13","species","Salvelinus fontinalis x Salvelinus malma","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis x Salvelinus malma","best hit","Has data",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"14","ASV14","species","Melanogrammus aeglefinus","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial",TRUE,"ASV36","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","best hit","Has data","Gadidae","Melanogrammus","Haddock","demersal","oceanodromous","highly commercial",TRUE,"both"
"15","ASV15","species","Scomber scombrus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Has data","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial",TRUE,"ASV15","species","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","best hit","Has data","Scombridae","Scomber","Atlantic mackerel","pelagic-neritic","oceanodromous","highly commercial",TRUE,"both"
"16","ASV17","species","Ammodytes dubius","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest",TRUE,"ASV12","species","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes dubius","best hit","Has data","Ammodytidae","Ammodytes","Northern sand lance","demersal",NA,"of potential interest",TRUE,"both"
"17","ASV18","species","Anarhichas denticulatus","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus","best hit","Has data","Anarhichadidae","Anarhichas","Northern wolffish","benthopelagic","oceanodromous","of no interest",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12S"
"18","ASV20","species","Myoxocephalus aenaeus","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Has data","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA,TRUE,"ASV39","species","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","best hit","Has data","Cottidae","Myoxocephalus","Grubby","demersal",NA,NA,TRUE,"both"
"19","ASV22","species","Apeltes quadracus","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Has data","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial",TRUE,"ASV19","species","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","best hit","Has data","Gasterosteidae","Apeltes","Fourspine stickleback","benthopelagic",NA,"commercial",TRUE,"both"
"20","ASV23","species","Microgadus tomcod","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod","best hit","Has data","Gadidae","Microgadus","Atlantic tomcod","demersal","anadromous","minor commercial",TRUE,"ASV17","species","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus tomcod","best hit","Has data","Gadidae","Microgadus","Atlantic tomcod","demersal","anadromous","minor commercial",TRUE,"both"
