,ASV,#lca rank,#lca taxon,#kingdom,#phylum,#class,#order,#family,#genus,#species,#method,OBIS-family,OBIS-genus,OBIS-FBname,OBIS-DemersPelag,OBIS-AnaCat,OBIS-Importance,Decision,Note
1,ASV1,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
2,ASV2,species,Sebastes mentella,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mentella,best hit,Sebastidae,Sebastes,Beaked redfish,bathypelagic,oceanodromous,commercial,,
3,ASV3,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
4,ASV4,species,Gasterosteus aculeatus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,best hit,Gasterosteidae,Gasterosteus,Three-spined stickleback,benthopelagic,anadromous,minor commercial,,
5,ASV5,species,Tautogolabrus adspersus,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Tautogolabrus,Tautogolabrus adspersus,best hit,Labridae,Tautogolabrus,Cunner,reef-associated,NA,commercial,,
6,ASV6,species,Salmo salar,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,best hit,Salmonidae,Salmo,Atlantic salmon,benthopelagic,anadromous,highly commercial,,
7,ASV7,species,Gadus morhua,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,best hit,Gadidae,Gadus,Atlantic cod,benthopelagic,oceanodromous,highly commercial,,
8,ASV8,species,Urophycis chuss,Eukaryota,Chordata,Actinopteri,Gadiformes,Phycidae,Urophycis,Urophycis chuss,best hit,Phycidae,Urophycis,Red hake,demersal,oceanodromous,commercial,,
9,ASV9,species,Osmerus mordax,Eukaryota,Chordata,Actinopteri,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax,best hit,Osmeridae,Osmerus,Rainbow smelt,pelagic-oceanic,anadromous,commercial,,
10,ASV10,species,Pholis gunnellus,Eukaryota,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis gunnellus,best hit,Pholidae,Pholis,Rock gunnel,demersal,non-migratory,of no interest,,
11,ASV11,species,Menidia menidia,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,best hit,Atherinopsidae,Menidia,Atlantic silverside,pelagic-neritic,oceanodromous,minor commercial,,
12,ASV12,species,Fundulus heteroclitus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,best hit,Fundulidae,Fundulus,Mummichog,benthopelagic,non-migratory,commercial,,
13,ASV13,species,Salvelinus fontinalis x Salvelinus malma,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis x Salvelinus malma,best hit,NA,NA,NA,NA,NA,NA,Salvelinus fontinalis,"malma is Pacific, Brook trout more plausible"
14,ASV14,species,Melanogrammus aeglefinus,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,best hit,Gadidae,Melanogrammus,Haddock,demersal,oceanodromous,highly commercial,,
15,ASV15,species,Scomber scombrus,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,best hit,Scombridae,Scomber,Atlantic mackerel,pelagic-neritic,oceanodromous,highly commercial,,
16,ASV17,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
17,ASV18,species,Anarhichas denticulatus,Eukaryota,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas denticulatus,best hit,Anarhichadidae,Anarhichas,Northern wolffish,benthopelagic,oceanodromous,of no interest,,
18,ASV19,species,Bos taurus,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,best hit,NA,NA,NA,NA,NA,NA,,
19,ASV20,species,Myoxocephalus aenaeus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus,best hit,Cottidae,Myoxocephalus,Grubby,demersal,NA,NA,,
20,ASV21,species,Ammodytes dubius,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes dubius,best hit,Ammodytidae,Ammodytes,Northern sand lance,demersal,NA,of potential interest,,
21,ASV22,species,Apeltes quadracus,Eukaryota,Chordata,Actinopteri,Perciformes,Gasterosteidae,Apeltes,Apeltes quadracus,best hit,Gasterosteidae,Apeltes,Fourspine stickleback,benthopelagic,NA,commercial,,
22,ASV23,species,Microgadus tomcod,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus tomcod,best hit,Gadidae,Microgadus,Atlantic tomcod,demersal,anadromous,minor commercial,,
23,ASV24,species,Glyptocephalus cynoglossus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus cynoglossus,best hit,Pleuronectidae,Glyptocephalus,Witch flounder,demersal,oceanodromous,commercial,,
24,ASV25,species,Ammodytes marinus,Eukaryota,Chordata,Actinopteri,Uranoscopiformes,Ammodytidae,Ammodytes,Ammodytes marinus,best hit,Ammodytidae,Ammodytes,Lesser sand-eel,benthopelagic,NA,commercial,,
25,ASV26,species,Myoxocephalus aenaeus,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus,best hit,Cottidae,Myoxocephalus,Grubby,demersal,NA,NA,,
26,ASV27,species,Sus scrofa,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,best hit,NA,NA,NA,NA,NA,NA,,
27,ASV28,species,Hippoglossoides platessoides,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,best hit,Pleuronectidae,Hippoglossoides,American plaice,demersal,oceanodromous,highly commercial,,
28,ASV29,species,Syngnathus fuscus,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus fuscus,best hit,Syngnathidae,Syngnathus,Northern pipefish,demersal,amphidromous,NA,,
29,ASV30,species,Anguilla rostrata,Eukaryota,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata,best hit,Anguillidae,Anguilla,American eel,demersal,catadromous,commercial,,
30,ASV31,species,Salmo trutta,Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,best hit,Salmonidae,Salmo,Sea trout,pelagic-neritic,anadromous,commercial,,
31,ASV32,species,Fundulus diaphanus,Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus diaphanus,best hit,Fundulidae,Fundulus,Banded killifish,benthopelagic,non-migratory,commercial,,
32,ASV33,species,Triglops murrayi,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Triglops,Triglops murrayi,best hit,Cottidae,Triglops,Moustache sculpin,demersal,non-migratory,of no interest,,
33,ASV34,species,Clupea harengus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,best hit,Clupeidae,Clupea,Atlantic herring,benthopelagic,oceanodromous,highly commercial,,
34,ASV35,species,Homo sapiens,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,best hit,NA,NA,NA,NA,NA,NA,,
35,ASV36,species,Pseudopleuronectes americanus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,best hit,Pleuronectidae,Pseudopleuronectes,Winter flounder,demersal,oceanodromous,commercial,,
36,ASV37,species,Merluccius bilinearis,Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis,best hit,Merlucciidae,Merluccius,Silver hake,demersal,oceanodromous,highly commercial,,
